City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
567,Uren,RU,57.4552,45.7852,-5.76,100,100,3.56,overcast clouds
568,Marsh Harbour,BS,26.5412,-77.0636,69.35,89,100,18.66,overcast clouds
569,Tres Palos,MX,18.1833,-101.6167,67.46,72,0,3.6,clear sky
570,Sorland,NO,67.667,12.6934,40.86,75,100,11.01,light rain
571,Magadan,RU,59.5667,150.8,7.86,74,17,8.61,few clouds
572,Bunia,CD,1.5667,30.25,69.08,56,100,2.91,overcast clouds
573,Fort Smith,US,35.3859,-94.3986,23.34,69,0,4.0,clear sky
574,Barcelos,PT,41.5388,-8.6151,55.92,94,49,1.41,scattered clouds
575,Tucupita,VE,9.0622,-62.051,70.18,99,58,2.35,broken clouds
576,Shingu,JP,33.7333,135.9833,51.48,48,0,3.31,clear sky
577,Rocha,UY,-34.4833,-54.3333,51.12,89,0,4.41,clear sky
578,Atar,MR,20.5169,-13.0499,59.2,25,3,3.18,clear sky
579,Sungaipenuh,ID,-2.0833,101.3833,76.26,59,100,4.16,light rain
580,Surt,LY,31.2089,16.5887,59.77,85,0,4.81,clear sky
581,Husavik,IS,66.0449,-17.3389,12.58,85,96,9.35,overcast clouds
582,Saint George,US,37.1041,-113.5841,45.19,61,0,8.05,clear sky
583,Dajabon,DO,19.5488,-71.7083,69.82,84,0,3.2,clear sky
584,Humaita,BR,-7.5061,-63.0208,74.26,91,100,2.13,overcast clouds
585,Apac,UG,1.9756,32.5386,74.3,43,100,6.55,overcast clouds
586,Bulnes,CL,-36.7423,-72.2985,54.36,94,1,2.35,clear sky
587,Voh,NC,-20.9667,164.7,74.66,93,100,5.64,overcast clouds
588,Roma,US,43.2128,-75.4557,23.83,68,100,3.44,overcast clouds
589,Sobolevo,RU,54.4299,31.8996,28.06,97,100,11.39,light snow
590,Baherden,TM,38.4362,57.4316,48.34,54,66,2.42,broken clouds
591,Wagar,SD,16.1525,36.2032,67.26,58,3,18.5,clear sky
592,Popondetta,PG,-8.7537,148.2534,78.76,93,94,2.86,moderate rain
593,Huarmey,PE,-10.0681,-78.1522,69.28,82,99,6.69,overcast clouds
594,Yaan,NG,7.3833,8.5667,70.34,28,10,7.25,clear sky
595,Swinoujscie,PL,53.9105,14.2471,36.18,93,75,16.11,broken clouds
596,Masyaf,SY,35.0653,36.3406,44.06,92,100,11.5,overcast clouds
597,Aitape,PG,-3.1374,142.3475,80.96,84,100,5.75,light rain
598,Batticaloa,LK,7.7102,81.6924,81.55,73,3,8.23,clear sky
599,Gazojak,TM,41.1875,61.4036,41.56,63,100,4.47,overcast clouds
600,Rurrenabaque,BO,-14.4413,-67.5278,70.95,99,54,0.67,broken clouds
601,Topolobampo,MX,25.6,-109.05,60.94,57,0,5.41,clear sky
602,Adre,TD,13.4667,22.2,56.48,37,1,19.53,clear sky
603,Meadow Lake,US,34.8014,-106.5436,43.5,55,99,4.85,overcast clouds
604,Baracoa,CU,20.3467,-74.4958,71.91,90,9,3.38,clear sky
605,Hot Springs,US,34.5037,-93.0552,28.11,64,0,3.44,clear sky
606,Oktyabrskoye,RU,43.0645,44.7417,26.74,93,75,2.24,broken clouds
607,Gigmoto,PH,13.7796,124.39,78.04,77,100,15.46,overcast clouds
608,Carbonia,IT,39.1672,8.5222,43.45,61,44,3.85,scattered clouds
609,Ajdabiya,LY,30.7554,20.2263,56.71,69,0,2.44,clear sky
610,Uthal,PK,25.8072,66.6219,73.8,20,0,2.01,clear sky
611,Cornwall,CA,45.0181,-74.7281,22.96,79,100,13.8,light snow
612,Qaqortoq,GL,60.7167,-46.0333,22.17,94,100,7.65,light snow
613,Vilani,LV,56.5525,26.9245,29.21,95,100,11.03,light snow
614,Jacqueville,CI,5.2052,-4.4146,77.61,81,12,5.44,few clouds
615,Ponta Delgada,PT,37.7333,-25.6667,54.32,71,20,2.3,few clouds
616,Ternate,ID,0.8,127.4,82.99,71,69,9.53,heavy intensity rain
617,Kropotkin,RU,45.4375,40.5756,42.08,88,99,7.11,overcast clouds
618,Sao Joao Do Piaui,BR,-8.3581,-42.2467,74.84,61,96,4.65,overcast clouds
619,Hebi,CN,35.8992,114.1925,42.35,19,98,5.75,overcast clouds
620,Wukari,NG,7.85,9.7833,65.53,36,4,6.31,clear sky
621,Zelezny Brod,CZ,50.6427,15.2541,39.11,87,87,9.89,overcast clouds
622,Kenmare,IE,51.8833,-9.5833,51.08,97,100,13.89,overcast clouds
623,Solvychegodsk,RU,61.3305,46.9156,15.78,92,82,4.43,broken clouds
624,Faya,SA,18.3851,42.4509,57.31,73,33,5.26,scattered clouds
625,Sabathu,IN,30.9719,76.9933,59.67,35,20,0.0,haze
626,Bilibino,RU,68.0546,166.4372,-23.55,99,99,1.63,overcast clouds
627,Souillac,MU,-20.5167,57.5167,82.78,65,75,13.8,broken clouds
628,Vyartsilya,RU,62.1764,30.693,16.48,92,100,12.59,overcast clouds
629,Harper,LR,4.375,-7.7169,76.69,83,43,8.03,scattered clouds
630,Ocosingo,MX,17.0667,-92.25,49.98,89,74,2.75,broken clouds
631,Hastings,GB,50.8552,0.5729,48.29,81,42,12.88,scattered clouds
632,Chabahar,IR,25.2919,60.643,73.36,70,40,7.78,light rain
633,Flinders,AU,-34.5833,150.8552,82.18,70,5,5.01,clear sky
634,Quatre Cocos,MU,-20.2078,57.7625,82.51,66,35,16.08,scattered clouds
635,Rock Sound,BS,24.9,-76.2,75.74,77,100,10.58,overcast clouds
636,Saint-Pierre,RE,-21.3393,55.4781,84.9,58,0,25.32,clear sky
637,Digapahandi,IN,19.3667,84.5833,88.0,42,10,3.38,clear sky
638,Ciudad Guayana,VE,8.3533,-62.6528,73.53,98,89,3.42,overcast clouds
639,Hukuntsi,BW,-24.0,21.75,83.5,30,49,14.61,scattered clouds
640,Ketchikan,US,55.3422,-131.6461,42.78,93,100,8.05,moderate rain
641,Fergus Falls,US,46.283,-96.0776,7.16,79,100,16.11,overcast clouds
642,Hrodna,BY,53.6884,23.8258,37.26,93,100,6.71,overcast clouds
643,Arkhara,RU,49.4212,130.0842,-0.44,95,100,3.09,overcast clouds
644,Hima,UG,0.2958,30.1804,76.41,62,53,2.15,broken clouds
645,Itaituba,BR,-4.2761,-55.9836,72.73,100,100,1.32,heavy intensity rain
646,Waingapu,ID,-9.6567,120.2641,87.6,59,63,9.48,broken clouds
647,Hazorasp,UZ,41.3194,61.0742,35.44,67,91,6.38,overcast clouds
648,Salta,AR,-24.7859,-65.4117,57.79,91,75,1.14,broken clouds
649,Daru,PG,-9.0763,143.2092,80.1,83,100,9.28,overcast clouds
650,Buta,CD,2.7858,24.73,79.2,32,95,3.94,overcast clouds
651,Mehamn,NO,71.0357,27.8492,30.11,86,81,8.05,broken clouds
652,Miranda,CO,3.2499,-76.2281,64.53,93,99,2.42,overcast clouds
